book,category,price,star-rating,in-stock
Mrs. Houdini,Historical Fiction,30.25,5,True
The Marriage of Opposites,Historical Fiction,28.08,4,True
Glory over Everything: Beyond The Kitchen House,Historical Fiction,45.84,3,True
"Love, Lies and Spies",Historical Fiction,20.55,2,True
A Paris Apartment,Historical Fiction,39.01,4,True
Lilac Girls,Historical Fiction,17.28,2,True
The Constant Princess (The Tudor Court #1),Historical Fiction,16.62,3,True
The Invention of Wings,Historical Fiction,37.34,1,True
World Without End (The Pillars of the Earth #2),Historical Fiction,32.97,4,True
The Passion of Dolssa,Historical Fiction,28.32,5,True
Girl With a Pearl Earring,Historical Fiction,26.77,1,True
Voyager (Outlander #3),Historical Fiction,21.07,5,True
The Red Tent,Historical Fiction,35.66,5,True
The Last Painting of Sara de Vos,Historical Fiction,55.55,2,True
The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,49.53,1,True
Girl in the Blue Coat,Historical Fiction,46.83,2,True
Between Shades of Gray,Historical Fiction,20.79,5,True
While You Were Mine,Historical Fiction,41.32,5,True
The Secret Healer,Historical Fiction,34.56,3,True
Starlark,Historical Fiction,25.83,3,True
Lost Among the Living,Historical Fiction,27.7,4,True
A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,16.97,5,True
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,52.29,5,True
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,16.28,1,True
This One Summer,Sequential Art,19.49,4,True
The Nameless City (The Nameless City #1),Sequential Art,38.16,4,True
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,51.04,2,True
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,50.4,3,True
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,13.61,5,True
"Pop Gun War, Volume 1: Gift",Sequential Art,18.97,1,True
Patience,Sequential Art,10.16,3,True
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,15.44,4,True
orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,48.41,1,True
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,46.91,2,True
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,45.61,3,True
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,19.92,2,True
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,29.17,2,True
I am a Hero Omnibus Volume 1,Sequential Art,54.63,3,True
"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,22.11,2,True
Danganronpa Volume 1,Sequential Art,51.99,4,True
"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,36.72,4,True
Camp Midnight,Sequential Art,17.08,4,True
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Sequential Art,37.92,2,True
The Shadow Hero (The Shadow Hero),Sequential Art,33.14,1,True
"Fables, Vol. 1: Legends in Exile (Fables #1)",Sequential Art,41.62,4,True
Batman: The Long Halloween (Batman),Sequential Art,36.5,2,True
Batman: The Dark Knight Returns (Batman),Sequential Art,15.38,5,True
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Sequential Art,37.34,4,True
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Sequential Art,53.9,1,True
Through the Woods,Sequential Art,25.38,2,True
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Sequential Art,11.89,5,True
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Sequential Art,35.43,4,True
Robin War,Sequential Art,47.82,3,True
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Sequential Art,25.48,2,True
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Sequential Art,38.39,2,True
Lowriders to the Center of the Earth (Lowriders in Space #2),Sequential Art,51.51,2,True
El Deafo,Sequential Art,57.62,5,True
Batman: Europa,Sequential Art,32.01,2,True
Art Ops Vol. 1,Sequential Art,48.8,3,True
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Sequential Art,10.9,2,True
"Fruits Basket, Vol. 9 (Fruits Basket #9)",Sequential Art,33.95,4,True
Roller Girl,Sequential Art,14.1,5,True
"Fruits Basket, Vol. 7 (Fruits Basket #7)",Sequential Art,19.57,1,True
"Fruits Basket, Vol. 6 (Fruits Basket #6)",Sequential Art,20.96,4,True
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",Sequential Art,36.39,3,True
"Fruits Basket, Vol. 5 (Fruits Basket #5)",Sequential Art,16.33,1,True
"Death Note, Vol. 5: Whiteout (Death Note #5)",Sequential Art,52.41,1,True
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",Sequential Art,27.88,2,True
"Fruits Basket, Vol. 4 (Fruits Basket #4)",Sequential Art,50.44,4,True
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",Sequential Art,14.41,3,True
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",Sequential Art,55.55,5,True
"Saga, Volume 3 (Saga (Collected Editions) #3)",Sequential Art,21.57,5,True
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),Sequential Art,43.63,3,True
Persepolis: The Story of a Childhood (Persepolis #1-2),Sequential Art,39.13,1,True
Original Fake,Sequential Art,31.45,3,True
"Grayson, Vol 3: Nemesis (Grayson #3)",Sequential Art,42.72,1,True
"Fruits Basket, Vol. 3 (Fruits Basket #3)",Sequential Art,45.17,2,True
"Black Butler, Vol. 1 (Black Butler #1)",Sequential Art,49.31,1,True
Awkward,Sequential Art,38.02,2,True
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",Sequential Art,54.81,1,True
"Saga, Volume 2 (Saga (Collected Editions) #2)",Sequential Art,11.75,3,True
"Fruits Basket, Vol. 2 (Fruits Basket #2)",Sequential Art,11.64,5,True
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",Sequential Art,18.51,4,True
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",Sequential Art,36.52,2,True
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",Sequential Art,54.12,3,True
The Complete Maus (Maus #1-2),Sequential Art,10.64,3,True
"Skip Beat!, Vol. 01 (Skip Beat! #1)",Sequential Art,42.12,3,True
"Saga, Volume 1 (Saga (Collected Editions) #1)",Sequential Art,28.48,1,True
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",Sequential Art,46.96,5,True
"Paper Girls, Vol. 1 (Paper Girls #1-5)",Sequential Art,21.71,4,True
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",Sequential Art,29.87,3,True
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",Sequential Art,39.39,4,True
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",Sequential Art,45.24,3,True
"Giant Days, Vol. 1 (Giant Days #1-4)",Sequential Art,56.76,4,True
"Fruits Basket, Vol. 1 (Fruits Basket #1)",Sequential Art,40.28,5,True
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",Sequential Art,34.65,5,True
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",Sequential Art,57.06,4,True
The Secret Garden,Classics,15.08,4,True
The Metamorphosis,Classics,28.58,1,True
The Pilgrim's Progress,Classics,50.26,2,True
The Hound of the Baskervilles (Sherlock Holmes #5),Classics,14.82,2,True
Little Women (Little Women #1),Classics,28.07,4,True
Gone with the Wind,Classics,32.49,3,True
Candide,Classics,58.63,3,True
Animal Farm,Classics,57.22,3,True
Wuthering Heights,Classics,17.73,3,True
The Picture of Dorian Gray,Classics,29.7,2,True
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),Classics,26.78,4,True
Beowulf,Classics,38.35,2,True
And Then There Were None,Classics,35.01,2,True
The Story of Hong Gildong,Classics,43.19,4,True
The Little Prince,Classics,45.42,2,True
Sense and Sensibility,Classics,37.46,1,True
Of Mice and Men,Classics,47.11,2,True
Emma,Classics,32.93,2,True
Alice in Wonderland (Alice's Adventures in Wonderland #1),Classics,55.53,1,True
Sophie's World,Philosophy,15.94,5,True
The Death of Humanity: and the Case for Life,Philosophy,58.11,4,True
The Stranger,Philosophy,17.44,4,True
Proofs of God: Classical Arguments from Tertullian to Barth,Philosophy,54.21,1,True
Kierkegaard: A Christian Missionary to Christians,Philosophy,47.13,1,True
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",Philosophy,29.93,5,True
Critique of Pure Reason,Philosophy,20.75,1,True
"Run, Spot, Run: The Ethics of Keeping Pets",Philosophy,20.02,1,True
The Nicomachean Ethics,Philosophy,36.34,1,True
Meditations,Philosophy,25.89,2,True
Beyond Good and Evil,Philosophy,43.38,1,True
Chase Me (Paris Nights #2),Romance,25.27,5,True
Black Dust,Romance,34.53,5,True
Her Backup Boyfriend (The Sorensen Family #1),Romance,33.97,1,True
First and First (Five Boroughs #3),Romance,15.97,4,True
Fifty Shades Darker (Fifty Shades #2),Romance,21.96,1,True
The Wedding Dress,Romance,24.12,1,True
Suddenly in Love (Lake Haven #1),Romance,55.99,2,True
Something More Than This,Romance,16.24,4,True
Doing It Over (Most Likely To #1),Romance,35.61,3,True
The Wedding Pact (The O'Malleys #2),Romance,32.61,3,True
Hold Your Breath (Search and Rescue #1),Romance,28.82,1,True
Dirty (Dive Bar #1),Romance,40.83,4,True
Take Me Home Tonight (Rock Star Romance #3),Romance,53.98,3,True
Off the Hook (Fishing for Trouble #1),Romance,47.67,3,True
A Gentleman's Position (Society of Gentlemen #3),Romance,14.75,5,True
"Sit, Stay, Love",Romance,20.9,3,True
A Girl's Guide to Moving On (New Beginnings #2),Romance,31.3,1,True
The Perfect Play (Play by Play #1),Romance,59.99,3,True
Dark Lover (Black Dagger Brotherhood #1),Romance,12.87,1,True
Changing the Game (Play by Play #2),Romance,13.38,3,True
A Walk to Remember,Romance,56.43,1,True
The Purest Hook (Second Circle Tattoos #3),Romance,12.25,1,True
The Obsession,Romance,45.43,1,True
Reservations for Two,Romance,11.1,3,True
Best of My Love (Fool's Gold #20),Romance,27.41,2,True
Where Lightning Strikes (Bleeding Stars #3),Romance,39.77,3,True
This One Moment (Pushing Limits #1),Romance,48.71,1,True
"Rhythm, Chord & Malykhin",Romance,28.34,2,True
My Perfect Mistake (Over the Top #1),Romance,38.92,2,True
Listen to Me (Fusion #1),Romance,58.99,3,True
Imperfect Harmony,Romance,34.74,4,True
Fighting Fate (Fighting #6),Romance,39.24,3,True
Deep Under (Walker Security #1),Romance,47.09,5,True
Charity's Cross (Charles Towne Belles #4),Romance,41.24,1,True
Bounty (Colorado Mountain #7),Romance,37.26,4,True
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Womens Fiction,57.36,4,True
Will You Won't You Want Me?,Womens Fiction,13.86,3,True
Keep Me Posted,Womens Fiction,20.46,4,True
Grey (Fifty Shades #4),Womens Fiction,48.49,4,True
Meternity,Womens Fiction,43.58,3,True
Some Women,Womens Fiction,13.73,5,True
Shopaholic Ties the Knot (Shopaholic #3),Womens Fiction,48.39,5,True
Can You Keep a Secret?,Womens Fiction,21.94,1,True
Twenties Girl,Womens Fiction,42.8,2,True
The Undomestic Goddess,Womens Fiction,45.75,4,True
The Nanny Diaries (Nanny #1),Womens Fiction,52.53,5,True
The Devil Wears Prada (The Devil Wears Prada #1),Womens Fiction,44.29,1,True
Something Borrowed (Darcy & Rachel #1),Womens Fiction,48.96,5,True
Something Blue (Darcy & Rachel #2),Womens Fiction,54.62,1,True
I've Got Your Number,Womens Fiction,19.69,1,True
The Edge of Reason (Bridget Jones #2),Womens Fiction,19.18,4,True
Bridget Jones's Diary (Bridget Jones #1),Womens Fiction,29.82,1,True
Soumission,Fiction,50.1,1,True
Private Paris (Private #10),Fiction,47.61,5,True
"We Love You, Charlie Freeman",Fiction,50.27,5,True
Thirst,Fiction,17.27,5,True
The Murder That Never Was (Forensic Instincts #5),Fiction,54.11,3,True
Tuesday Nights in 1980,Fiction,21.04,2,True
The Vacationers,Fiction,42.15,4,True
The Regional Office Is Under Attack!,Fiction,51.36,5,True
Finders Keepers (Bill Hodges Trilogy #2),Fiction,53.53,5,True
The Time Keeper,Fiction,27.88,5,True
The Testament of Mary,Fiction,52.67,4,True
The First Hostage (J.B. Collins #2),Fiction,25.85,3,True
Take Me with You,Fiction,45.21,3,True
Still Life with Bread Crumbs,Fiction,26.41,3,True
Shtum,Fiction,55.84,4,True
My Name Is Lucy Barton,Fiction,41.56,1,True
My Mrs. Brown,Fiction,24.48,3,True
Mr. Mercedes (Bill Hodges Trilogy #1),Fiction,28.9,1,True
I Am Pilgrim (Pilgrim #1),Fiction,10.6,4,True
Eligible (The Austen Project #4),Fiction,27.09,3,True
Eight Hundred Grapes,Fiction,14.39,4,True
Dear Mr. Knightley,Fiction,11.21,5,True
Cometh the Hour (The Clifton Chronicles #6),Fiction,25.01,3,True
Balloon Animals,Fiction,17.03,3,True
A Man Called Ove,Fiction,39.72,1,True
The Silent Sister (Riley MacPherson #1),Fiction,46.29,5,True
The Dinner Party,Fiction,56.54,2,True
The Improbability of Love,Fiction,59.45,1,True
Mothering Sunday,Fiction,13.34,2,True
Lies and Other Acts of Love,Fiction,45.14,1,True
Daredevils,Fiction,16.34,3,True
11/22/63,Fiction,48.48,3,True
The Shack,Fiction,28.03,1,True
The High Mountains of Portugal,Fiction,51.15,1,True
Miller's Valley,Fiction,58.54,2,True
Hystopia: A Novel,Fiction,21.96,4,True
The Bourne Identity (Jason Bourne #1),Fiction,42.78,4,True
Sister Dear,Fiction,40.2,4,True
Memoirs of a Geisha,Fiction,49.67,3,True
Me Before You (Me Before You #1),Fiction,19.02,1,True
Deception Point,Fiction,40.32,4,True
The Little Paris Bookshop,Fiction,24.73,3,True
The Firm,Fiction,45.56,3,True
The Expatriates,Fiction,44.58,2,True
Siddhartha,Fiction,34.22,5,True
Last One Home (New Beginnings #1),Fiction,59.98,3,True
Digital Fortress,Fiction,58.0,5,True
Atlas Shrugged,Fiction,26.58,5,True
Three-Martini Lunch,Fiction,23.21,3,True
The Nightingale,Fiction,26.26,4,True
The Infinities,Fiction,27.41,1,True
The Husband's Secret,Fiction,52.51,5,True
The Da Vinci Code (Robert Langdon #2),Fiction,22.96,2,True
The Art of Fielding,Fiction,22.1,1,True
Lila (Gilead #3),Fiction,12.47,3,True
Jurassic Park (Jurassic Park #1),Fiction,44.97,1,True
Inferno (Robert Langdon #4),Fiction,41.0,5,True
Crazy Rich Asians (Crazy Rich Asians #1),Fiction,49.13,5,True
Big Little Lies,Fiction,22.11,1,True
The Course of Love,Fiction,16.78,3,True
When I'm Gone,Fiction,51.96,3,True
The Silent Wife,Fiction,12.34,5,True
The Bette Davis Club,Fiction,30.66,3,True
Kitchens of the Great Midwest,Fiction,57.2,5,True
Bright Lines,Fiction,39.07,5,True
Birdsong: A Story in Pictures,Childrens,54.64,3,True
The Bear and the Piano,Childrens,36.89,1,True
The Secret of Dreadwillow Carse,Childrens,56.13,1,True
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,Childrens,58.08,4,True
Little Red,Childrens,13.47,3,True
Walt Disney's Alice in Wonderland,Childrens,12.96,5,True
Twenty Yawns,Childrens,22.08,2,True
Rain Fish,Childrens,23.57,3,True
Once Was a Time,Childrens,18.28,2,True
Luis Paints the World,Childrens,53.95,3,True
Nap-a-Roo,Childrens,25.08,1,True
The Whale,Childrens,35.96,4,True
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",Childrens,52.87,3,True
Raymie Nightingale,Childrens,34.41,2,True
Playing from the Heart,Childrens,32.38,1,True
Maybe Something Beautiful: How Art Transformed a Neighborhood,Childrens,22.54,1,True
The Wild Robot,Childrens,56.07,3,True
The Thing About Jellyfish,Childrens,48.77,1,True
The Lonely Ones,Childrens,43.59,5,True
The Day the Crayons Came Home (Crayons),Childrens,26.33,5,True
The Cat in the Hat (Beginner Books B-1),Childrens,16.26,2,True
Red: The True Story of Red Riding Hood,Childrens,28.54,3,True
Horrible Bear!,Childrens,37.52,2,True
Green Eggs and Ham (Beginner Books B-16),Childrens,10.79,4,True
Counting Thyme,Childrens,10.62,1,True
Are We There Yet?,Childrens,10.66,3,True
Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),Childrens,52.88,4,True
Matilda,Childrens,28.34,1,True
Charlie and the Chocolate Factory (Charlie Bucket #1),Childrens,22.85,3,True
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Religion,37.97,2,True
You Are What You Love: The Spiritual Power of Habit,Religion,21.87,4,True
God: The Most Unpleasant Character in All Fiction,Religion,30.03,5,True
The Book of Mormon,Religion,24.57,3,True
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",Religion,27.62,1,True
The Bhagavad Gita,Religion,57.49,3,True
Choosing Our Religion: The Spiritual Lives of America's Nones,Religion,28.42,4,True
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Nonfiction,40.3,5,True
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,31.05,3,True
Reasons to Stay Alive,Nonfiction,26.41,2,True
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,23.11,5,True
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,44.18,4,True
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,31.12,3,True
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Nonfiction,16.77,3,True
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Nonfiction,37.13,1,True
The Electric Pencil: Drawings from Inside State Hospital No. 3,Nonfiction,56.06,1,True
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Nonfiction,41.83,4,True
Reskilling America: Learning to Labor in the Twenty-First Century,Nonfiction,19.83,2,True
In the Country We Love: My Family Divided,Nonfiction,22.0,4,True
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Nonfiction,54.35,2,True
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Nonfiction,29.14,5,True
Algorithms to Live By: The Computer Science of Human Decisions,Nonfiction,30.81,1,True
The Power of Now: A Guide to Spiritual Enlightenment,Nonfiction,43.54,2,True
The Omnivore's Dilemma: A Natural History of Four Meals,Nonfiction,38.21,2,True
The Genius of Birds,Nonfiction,17.24,1,True
The Artist's Way: A Spiritual Path to Higher Creativity,Nonfiction,38.49,5,True
So You've Been Publicly Shamed,Nonfiction,12.23,2,True
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Nonfiction,19.43,3,True
Big Magic: Creative Living Beyond Fear,Nonfiction,30.8,3,True
Becoming Wise: An Inquiry into the Mystery and Art of Living,Nonfiction,27.43,2,True
Agnostic: A Spirited Manifesto,Nonfiction,12.51,5,True
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,Nonfiction,38.2,4,True
What's It Like in Space?: Stories from Astronauts Who've Been There,Nonfiction,19.6,2,True
The Year of Magical Thinking,Nonfiction,43.04,2,True
The Literature Book (Big Ideas Simply Explained),Nonfiction,17.43,3,True
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,Nonfiction,15.77,1,True
Swell: A Year of Waves,Nonfiction,45.58,1,True
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,Nonfiction,21.95,2,True
Looking for Lovely: Collecting the Moments that Matter,Nonfiction,29.14,5,True
Let It Out: A Journey Through Journaling,Nonfiction,26.79,5,True
Hamilton: The Revolution,Nonfiction,58.79,3,True
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",Nonfiction,15.06,4,True
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",Nonfiction,51.75,5,True
Buying In: The Secret Dialogue Between What We Buy and Who We Are,Nonfiction,37.8,4,True
Brain on Fire: My Month of Madness,Nonfiction,49.32,5,True
Abstract City,Nonfiction,56.37,5,True
13 Hours: The Inside Account of What Really Happened In Benghazi,Nonfiction,27.06,1,True
The Lonely City: Adventures in the Art of Being Alone,Nonfiction,33.26,2,True
The Diary of a Young Girl,Nonfiction,59.9,3,True
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,Nonfiction,21.21,3,True
Furiously Happy: A Funny Book About Horrible Things,Nonfiction,41.46,4,True
"The Sleep Revolution: Transforming Your Life, One Night at a Time",Nonfiction,11.68,4,True
"Mother, Can You Not?",Nonfiction,16.89,5,True
A Mother's Reckoning: Living in the Aftermath of Tragedy,Nonfiction,19.53,3,True
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",Nonfiction,24.57,2,True
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,Nonfiction,35.92,2,True
"Zero to One: Notes on Startups, or How to Build the Future",Nonfiction,34.06,3,True
Why Not Me?,Nonfiction,17.76,1,True
When Breath Becomes Air,Nonfiction,39.36,2,True
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",Nonfiction,28.45,4,True
Smarter Faster Better: The Secrets of Being Productive in Life and Business,Nonfiction,38.89,5,True
Rising Strong,Nonfiction,21.82,3,True
Man's Search for Meaning,Nonfiction,29.48,3,True
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",Nonfiction,25.06,2,True
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,Nonfiction,12.55,3,True
I Will Find You,Nonfiction,44.21,1,True
Brazen: The Courage to Find the You That's Been Hiding,Nonfiction,19.22,2,True
Between the World and Me,Nonfiction,56.91,4,True
Being Mortal: Medicine and What Matters in the End,Nonfiction,55.06,4,True
"A Murder Over a Girl: Justice, Gender, Junior High",Nonfiction,13.2,3,True
For the Love: Fighting for Grace in a World of Impossible Standards,Nonfiction,45.13,3,True
Finding God in the Ruins: How God Redeems Pain,Nonfiction,46.64,2,True
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Nonfiction,59.45,4,True
In Cold Blood,Nonfiction,49.98,4,True
"Girl, Interrupted",Nonfiction,42.14,3,True
Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,Nonfiction,48.67,2,True
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,Nonfiction,25.15,4,True
My Mother Was Nuts,Nonfiction,31.63,4,True
"Data, A Love Story: How I Gamed Online Dating to Meet My Match",Nonfiction,32.35,3,True
The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,Nonfiction,38.71,3,True
The Gunning of America: Business and the Making of American Gun Culture,Nonfiction,16.81,4,True
The Geography of Bliss: One Grump's Search for the Happiest Places in the World,Nonfiction,28.23,2,True
God Is Not Great: How Religion Poisons Everything,Nonfiction,27.8,1,True
We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,Nonfiction,31.95,3,True
Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,Nonfiction,50.66,3,True
"Unstuffed: Decluttering Your Home, Mind, and Soul",Nonfiction,58.09,1,True
Under the Banner of Heaven: A Story of Violent Faith,Nonfiction,30.0,1,True
"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",Nonfiction,53.51,1,True
The Name of God is Mercy,Nonfiction,37.25,2,True
Stiff: The Curious Lives of Human Cadavers,Nonfiction,36.74,3,True
Spilled Milk: Based on a True Story,Nonfiction,49.51,1,True
"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",Nonfiction,41.67,4,True
Outliers: The Story of Success,Nonfiction,14.16,1,True
Notes from a Small Island (Notes From a Small Island #1),Nonfiction,40.17,1,True
Night (The Night Trilogy #1),Nonfiction,13.51,1,True
"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",Nonfiction,57.83,1,True
Letter to a Christian Nation,Nonfiction,22.2,1,True
Let's Pretend This Never Happened: A Mostly True Memoir,Nonfiction,45.11,1,True
